epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,899,,,,0.9240278005599976,0.22529347240924835
0,899,,,0.41908442974090576,,
1,1799,,,,0.9365277886390686,0.19131366908550262
1,1799,,,0.20269420742988586,,
2,2699,,,,0.9447222352027893,0.15407976508140564
2,2699,,,0.1651390939950943,,
3,3599,,,,0.9469444155693054,0.1578819453716278
3,3599,,,0.13794361054897308,,
4,4499,,,,0.9520833492279053,0.1422562301158905
4,4499,,,0.12177290767431259,,
5,5399,,,,0.9530555605888367,0.140050008893013
5,5399,,,0.11013779789209366,,
6,6299,,,,0.956250011920929,0.13103222846984863
6,6299,,,0.1034584790468216,,
7,7199,,,,0.9587500095367432,0.1205964908003807
7,7199,,,0.09426373243331909,,
8,8099,,,,0.9595833420753479,0.11502592265605927
8,8099,,,0.08999357372522354,,
9,8999,,,,0.9627777934074402,0.11118229478597641
9,8999,,,0.08339613676071167,,
10,9899,,,,0.964305579662323,0.11318035423755646
10,9899,,,0.07934283465147018,,
11,10799,,,,0.9594444632530212,0.13089296221733093
11,10799,,,0.07308629900217056,,
12,11699,,,,0.9590277671813965,0.11159919202327728
12,11699,,,0.07299184054136276,,
13,12599,,,,0.9629166722297668,0.11452716588973999
13,12599,,,0.06942348182201385,,
14,13499,,,,0.9645833373069763,0.11016766726970673
14,13499,,,0.067848339676857,,
15,14399,,,,0.9651389122009277,0.1075594499707222
15,14399,,,0.06389524787664413,,
16,15299,,,,0.9630555510520935,0.1162208691239357
16,15299,,,0.05857285484671593,,
17,16199,,,,0.9679166674613953,0.10532877594232559
17,16199,,,0.05745597556233406,,
18,17099,,,,0.9622222185134888,0.11138895899057388
18,17099,,,0.055320851504802704,,
19,17999,,,,0.9676389098167419,0.10371129214763641
19,17999,,,0.05379343405365944,,
20,18000,0.9674999713897705,0.09444413334131241,,,
