epoch,step,train_loss,val_acc,val_loss
0,899,,0.9554166793823242,0.13222451508045197
0,899,0.18312036991119385,,
1,1799,,0.9461110830307007,0.15370433032512665
1,1799,0.11741041392087936,,
2,2699,,0.9601389169692993,0.1169123500585556
2,2699,0.10031803697347641,,
3,3599,,0.9662500023841858,0.10115968436002731
3,3599,0.09093763679265976,,
4,4499,,0.9637500047683716,0.10662005841732025
4,4499,0.08270658552646637,,
5,5399,,0.9674999713897705,0.09787977486848831
5,5399,0.07515814155340195,,
6,6299,,0.9638888835906982,0.10854978859424591
6,6299,0.0686035081744194,,
7,7199,,0.9651389122009277,0.11534000933170319
7,7199,0.06699896603822708,,
8,8099,,0.9648610949516296,0.11094743758440018
8,8099,0.06112576648592949,,
9,8999,,0.9630555510520935,0.12086948752403259
9,8999,0.05542894825339317,,
10,9899,,0.9659722447395325,0.11279436200857162
10,9899,0.05152994021773338,,
