epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,899,,,,0.894444465637207,0.29708144068717957
0,899,,,0.4138835668563843,,
1,1799,,,,0.9116666913032532,0.2497420310974121
1,1799,,,0.2594960331916809,,
2,2699,,,,0.9269444346427917,0.2132551372051239
2,2699,,,0.21501272916793823,,
3,3599,,,,0.9279166460037231,0.21069110929965973
3,3599,,,0.19277223944664001,,
4,4499,,,,0.9372222423553467,0.18928393721580505
4,4499,,,0.18179841339588165,,
5,5399,,,,0.9397222399711609,0.18403831124305725
5,5399,,,0.16989122331142426,,
6,6299,,,,0.9368055462837219,0.17870953679084778
6,6299,,,0.15898403525352478,,
7,7199,,,,0.9412500262260437,0.16672439873218536
7,7199,,,0.1591033786535263,,
8,8099,,,,0.9363889098167419,0.18891532719135284
8,8099,,,0.14670588076114655,,
9,8999,,,,0.9444444179534912,0.16265183687210083
9,8999,,,0.14344832301139832,,
10,9899,,,,0.9454166889190674,0.15794683992862701
10,9899,,,0.1399567425251007,,
11,10799,,,,0.945555567741394,0.15587830543518066
11,10799,,,0.13472647964954376,,
12,11699,,,,0.9388889074325562,0.1766204833984375
12,11699,,,0.13090181350708008,,
13,12599,,,,0.9472222328186035,0.15655988454818726
13,12599,,,0.1263270378112793,,
14,13499,,,,0.9484722018241882,0.15640458464622498
14,13499,,,0.12244434654712677,,
15,14399,,,,0.9470833539962769,0.15880204737186432
15,14399,,,0.12231994420289993,,
16,15299,,,,0.9451388716697693,0.15949080884456635
16,15299,,,0.12080753594636917,,
17,16199,,,,0.9512500166893005,0.14559756219387054
17,16199,,,0.11595601588487625,,
18,17099,,,,0.948888897895813,0.14707809686660767
18,17099,,,0.11473274230957031,,
19,17999,,,,0.948888897895813,0.14669309556484222
19,17999,,,0.11009863764047623,,
20,18000,0.9443333148956299,0.1561812460422516,,,
